english,darija,darija_ar
I don't know why,ma3raftch 3lach,ماعرافتش علاش 
And why are you traveling today?,o 3lach msafra lyoum?,أُ علاش مسافرا ليوم? 
I'm visiting my daughter who I've not seen for a good while,ana ghadya nchouf bnti limchfthach moudda hadi,أنا غاديا نشوف بنتي ليمشفتهاش مودّا هادي 
I'm very excited to see her,ana mat7amsa bzaf nchofha,أنا ماتحامسا بزاف نشوفها 
Are you on business?,wach khdam?,واش خدام? 
"No, I'm on vacation","la, ana f 3oTla","لا, أنا ف عوطلا "
You must be really happy to see your daughter,khask tkoni fr7ana bzaf 7it ghadi tchofi bntk,خاسك تكوني فرحانا بزاف حيت غادي تشوفي بنتك 
It's six months since I've seen her,stt ch8or hadi machftha,ستّ شهور هادي ماشفتها 
I have my case loaded with all the things she likes to eat,3ndi chanTa 3amra bdakchi likatbghi takol,عندي شانطا عامرا بداكشي ليكاتبغي تاكول 
and some toiletries she likes too,o chi l3ibat dyal naDafa likatbghiha 7ta hiya,أُ شي لعيبات ديال ناضافا ليكاتبغيها حتا هييا 
She's gonna be really happy,ghadi tkon far7ana bzaf,غادي تكون فارحانا بزاف 
What's good for him?,achno mzyan bnisba lih?,أشنو مزيان بنيسبا ليه? 
Cheese? Chocolate?,lfrmaj? choklat?,لفرماج? شوكلات? 
and i've got her the soap she likes,o jabt liha sabon likatbghi,أُ جابت ليها سابون ليكاتبغي 
My bag is really heavy,sac dyali t9il bzaf,ساك ديالي تقيل بزاف 
Will she pick you up at the airport on arrival?,wach ghadi tji t8zzek mn lmaTar mnin toSl?,واش غادي تجي تهزّك من لماطار منين توصل? 
Yes hopefully,ah kantmana,أه كانتمانا 
although she said she might be late,wakha galt bila t9dr t3TTal,واخا ڭالت بيلا تقدر تعطّال 
because she will be travelling through rush hour,7it ghadi tsafar fsa3a dyal z7am,حيت غادي تسافار فساعا ديال زحام 
The plan is to get a taxi to her appartment,lkhota hia nchdd taxi l parTma dyalha,لخوتا هيا نشدّ تاشي ل پارطما ديالها 
What are you planning to do on your holiday?,achno katkhaTaT dir f 3oTla dyalk?,أشنو كاتخاطاط دير ف عوطلا ديالك? 
Taxi sounds like a good idea!,kayban liya taxi fikra mzyana,كايبان لييا تاشي فيكرا مزيانا 
"On my side, I plan on joining friends who live there","mn ji8ti, kankhaTaT nmchi 3nd S7abi likay3icho tma","من جيهتي, كانخاطاط نمشي عند صحابي ليكايعيشو تما "
The point is mostly to see them,l8adaf howa awwalan nchofhom,لهاداف هووا أوّالان نشوفهوم 
to take advantage of the city and everything she can offer,nstafdo mn lmdina o dakchi li t9dr t3Ti,نستافدو من لمدينا أُ داكشي لي تقدر تعطي 
thank you for talking to me and settling my nerves,chokran mli hderti m3aya o 8ddentini,شوكران ملي هدرتي معايا أُ هدّنتيني 
Have a wonderful holiday!,3otla sa3ida!,عوتلا ساعيدا! 
"Have a good trip, too",kantmana lik ri7la zwina ta hiya,كانتمانا ليك ريحلا زوينا تا هييا 
Enjoy your daughter!,stamta3 m3a bntk,ستامتاع معا بنتك 
"They say that flying is the safest form of transport, you know!","kaygolo Tayaran howa aktar was2il na9l li 2amina, kif kat3arfo","كايڭولو طاياران هووا أكتار واسإل ناقل لي أمينا, كيف كاتعارفو "
You shouldn't worry so much,matkhafoch bzaf,ماتخافوش بزاف 
"Oh, I know",ah 3raft,أه عرافت 
"But you know, being a little stressed out on planes is not a rational thing","walakin kif kat3raf, tkon matwatar f Tyarat machi 7aja 3a9laniya","والاكين كيف كاتعراف, تكون ماتواتار ف طيارات ماشي حاجا عاقلانييا "
There's something really unnatural about an object so big and heavy can be suspended,kayna chi 7aja machi Tabi3iya f jism kbir o t9il lhad daraja m3lle9 fsma,كاينا شي حاجا ماشي طابيعييا ف جيسم كبير أُ تقيل لهاد داراجا معلّق فسما 
10 miles above the ground,3la rtifa3 10 amyal fo9 sat7 l2arD,علا رتيفاع 10 أميال فوق ساتح لأرض 
"Well, imagine when space travel becomes commercialised","wakha, tkhayal nhar ywali safar lfaDa2 tijari","واخا, تخايال نهار يوالي سافار لفاضاء تيجاري "
That's going to be a bit of a shock for you isn't it!,"ghadi ykon Sdma bnsba lik, awlla la?","غادي يكون صدما بنسبا ليك, أولّا لا? "
"Oh, yeah, tell me about it","ah, ah, goliya 3liha","أه, أه, ڭولييا عليها "
"But at the same time, being away from the earth, without gravity, it's different","walakin fnafs lwa9t, tb33d 3la l2arD, bla jadibiya, l2amr mkhtalf","والاكين فنافس لواقت, تبعّد علا لأرض, بلا جاديبييا, لأمر مختالف "
"We're not going to fall apart, since there's not really up and down",maghdich n8aro 7it makaynch aSlan lfo9 olt7t,ماغديش نهارو حيت ماكاينش أصلان لفوق أُلتحت 
"No, in space, actually, it's more like a submarine","la, fl faDa2, flwa9i3, hya b7al lghwwaSa","لا, فل فاضاء, فلواقيع, هيا بحال لغوّاصا "
The spaceship has to be solid,khas safina dyal lfaDa2 9as7a,خاس سافينا ديال لفاضاء قاسحا 
"cause if there's a hole in the hull, we'll probably be dead soon","7it ila kan chi to9b fl8aykal, rah mo7tamal nmoutou 9ariban","حيت إلا كان شي توقب فلهايكال, راه موحتامال نموتو قاريبان "
Like a submarine,b7al lghwwaSa,بحال لغوّاصا 
It's absurd,hadchi makaydkholch l39l,هادشي ماكايدخولش لعقل 
but I think I'd be less afraid,walakin kanDn ghadi nkon a9al khawf,والاكين كانضن غادي نكون أقال خاوف 
"Well, can you not force yourself to be rational about it?","wakha, mach mat9darch tabzaz 3la rask tkon 3a9lani fhadchi?","واخا, ماش ماتقدارش تابزاز علا راسك تكون عاقلاني فهادشي? "
Being in space is worse than being here now,rah tkon f lfaDa2 khyeb mn tkon 8na daba,راه تكون ف لفاضاء خيب من تكون هنا دابا 
Are you really still scared after what you just said?,wach mazal khayf mora hadchi liglti daba?,واش مازال خايف مورا هادشي ليڭلتي دابا? 
"Yes, absolutely",ah bta2kid,أه بتاءكيد 
It's not really fear,rah machi khawf niit,راه ماشي خاوف نيّت 
More like some kind of stress,b7al t9riban tawtor,بحال تقريبان تاوتور 
"But you're not nervous about it, are you?","walakin nta mamtwatarch, kayna?","والاكين نتا مامتواتارش, كاينا? "
Even when there's turbulence?,7ta mnin kaykon idTirab,حتا منين كايكون إدطيراب 
"No, it's like a rollercoaster","la, rah b7al of3owaniya","لا, راه بحال أُفعووانييا "
It's amazing!,hadchi mod8ich!,هادشي مودهيش! 
And they have amazing service,o 3ndhom khdma ra2i3a,أُ عندهوم خدما راإعا 
I love it when they give free food!,kay3jbni mnin kay3tiwna makla fabor,كايعجبني منين كايعتيونا ماكلا فابور 
Especially when there's turbulence and all the tea and coffee goes everywhere!,khoSoSan mnin kaykon idTirab o kamchi atay ol9ahwa fga3 lblays!,خوصوصان منين كايكون إدطيراب أُ كامشي أتاي أُلقاهوا فڭاع لبلايس! 
That's really hilarious,hadchi kayda7ek sara7a,هادشي كايداحك ساراحا 
"I'll give you that, it's fun","ghadi n3tik hada rah momti3""","غادي نعتيك هادا راه مومتيع"" "
But it's also awfully stressful for people like me,walakin rah mor8i9 bzaf lnas b7ali,والاكين راه مورهيق بزاف لناس بحالي 
"Ah, don't worry",ah kon 8ani,أه كون هاني 
"That should make you feel a bit better, surely!","hadchi ghadi ykhalik t7as mazyan, bta2kid","هادشي غادي يخاليك تحاس مازيان, بتاءكيد "
We'll see,ghadi nchofo,غادي نشوفو 
We'll see,daba nchofo,دابا نشوفو 
"Thank you for your support, anyway","chokran 3la da3m dyalkom, 3la kol 7al","شوكران علا داعم ديالكوم, علا كول حال "
have you made a guest list for the party?,wach darti 9a2ima dyal Dyof l7afla?,واش دارتي قاإما ديال ضيوف لحافلا? 
Are there particular people you want to invite?,wach kaynin chi nas bghiti t3raD 3lihom?,واش كاينين شي ناس بغيتي تعراض عليهوم? 
"Well, it depends on where we set it up","iwa, hadchi kay3tamad 3la lblasa li9adina","إوا, هادشي كايعتاماد علا لبلاسا ليقادينا "
"If we are doing this at my house, I can not invite over 15 people","ila drna8a f dari, maghadich n9dar n3ayaT 3la ktar mn 15 wa7ad","إلا درناها ف داري, ماغاديش نقدار نعاياط علا كتار من 15 واحاد "
Why not?,3lach la?,علاش لا? 
I know you dont have much space,3arf ma3ndakch blaSa kbira,عارف ماعنداكش بلاصا كبيرا 
parties go better when everyone is squashed together,l7afalat kaydozo 7sn mlli taykon chi mkhchi fchi,لحافالات كايدوزو حسن ملّي تايكون شي مخشي فشي 
Or are you worried about the neighbours?,wla nta khayf 3la jiran?,ولا نتا خايف علا جيران? 
We can invite them,t9dar t3raD 3lihom,تقدار تعراض عليهوم 
"That's true, we could","ayeh bsa7, na9dro","أيه بساح, ناقدرو "
"Plus, the third neighbor is really pretty good","zid 3liha ljar talt, lay3mmr8a dar","زيد عليها لجار تالت, لايعمّرها دار "
Have you seen her before?,wach chftiha mn 9bal,واش شفتيها من قبال 
"Ah yes, she would be good fun",ah ghadi tkon momti3a,أه غادي تكون مومتيعا 
just drinks and snacks?,hir lmachrobat o lwajabat lkhfifa?,هير لماشروبات أُ لواجابات لخفيفا? 
Providing a lot of food makes it all more complicated,tawfir bzaf dyal lmakla kaykhali kolchi m399d ktr,تاوفير بزاف ديال لماكلا كايخالي كولشي معقّد كتر 
"We could even ask people to come with stuff, right?","n9adro 7ta nTalbo mn nas yjibo chi 7aja, kayna?","نقادرو حتا نطالبو من ناس يجيبو شي حاجا, كاينا? "
"Drink or food, by the way","mchrob wla makla, blmonasaba","مشروب ولا ماكلا, بلموناسابا "
"Good idea, that makes it all much easier and more relaxing","fikra mzyana, hadchi kaykhali kolchi s8el o aktar ra7a","فيكرا مزيانا, هادشي كايخالي كولشي سهل أُ أكتار راحا "
Do you have enough plates and galsses?,wach kafyin tbasl o lkisan li 3ndk?,واش كافيين تباسل أُ لكيسان لي عندك? 
Maybe get some ice from there too,imkn jib chwiya dyal talj mn tma tahowa,إمكن جيب شوييا ديال تالج من تما تاهووا 
"We can buy plastic plates, it's easier, right?","n9adro nchriw TbaSl tl plastik, hadchi s8al, awlla?","نقادرو نشريو طباصل تل پلاستيك, هادشي سهال, أولّا? "
Same with the drinks,nafs l7aja m3a lmachrobat,نافس لحاجا معا لماشروبات 
We can schedule basic stuff like chips,n9adro n9ado l7wayj asasiya b7al chips,نقادرو نقادو لحوايج أساسييا بحال شيپس 
I hate plastic plates,makan7mlch TbaSl dyal plastik,ماكانحملش طباصل ديال پلاستيك 
I'd much rather have proper ones even if it means more work clearing up,ana kanfaDal ykono 3ndi chi w7din monasibin wakha hadchi kay3ni bzaf dyal lkhadma f lghsil,أنا كانفاضال يكونو عندي شي وحدين موناسيبين واخا هادشي كايعني بزاف ديال لخادما ف لغسيل 
I don't mind doing that,ma3andi ta mochkil m3a hadchi,ماعاندي تا موشكيل معا هادشي 
"Is there going to be a theme, or should people just bring whatever they like?","wach ghadi ykon mawDou3, wla khas bnadam yjib libgha?","واش غادي يكون ماوضوع, ولا خاس بنادام يجيب ليبغا? "
Then we'll make sure we don't starve to death,o ghadi nt2akdo bila maghadich nmouto bjo3,أُ غادي نتأكدو بيلا ماغاديش نموتو بجوع 
"Okay, plates","wakha, tbaSl","واخا, تباصل "
"No, there's no need to complicate things with a theme","la, makhasnach n3a9do l2omor bchi mawdo3","لا, ماخاسناش نعاقدو لأمور بشي ماودوع "
Do we have vegetarians amongst our friends?,wach 3ndna nabatiyin bin s7abna?,واش عندنا ناباتييين بين سحابنا? 
Its always good to have some meat free dishes anyway,rah mazyan ykono 3ndak chi tbasal bla l7am 3la kol 7al,راه مازيان يكونو عنداك شي تباسال بلا لحام علا كول حال 
vegetarians can just avoid the ones with meat,nabatiyin i9dro hir itjnnbo hadik lifiha l7am,ناباتييين إقدرو هير إتجنّبو هاديك ليفيها لحام 
"But vegans, well, I think if there is someone else it would be better","walakin nabatiyin, wakha, kanDn ila kan chi 7d akhor ghatkon mzyana","والاكين ناباتييين, واخا, كانضن إلا كان شي حد أخور غاتكون مزيانا "
"Well, you know, we'll take care of the raw vegetables","wakha kif kat3raf, ghadi nt8llaw f lkhoDra","واخا كيف كاتعراف, غادي نتهلّاو ف لخوضرا "
like everyone else,b7al ay wa7d akhor,بحال أي واحد أخور 
"All right, look, I think we're all gone","wakha, chof, kanDn mchina kamlin","واخا, شوف, كانضن مشينا كاملين "
I'll think about the guest list,ghadi nfakar fl9a2ima dyal Dyaf,غادي نفاكار فلقاإما ديال ضياف 
"I have to leave you for now, but thank you for all your advice","khasni nkhalik daba, walakin kanchkrk 3la naSa2i7 dyalk","خاسني نخاليك دابا, والاكين كانشكرك علا ناصاإح ديالك "
You're welcome!,mar7aban,مارحابان 
"Good morning, ma'am",sbah lkhir a lalla,سباه لخير أ لالّا 
"Lie down, I'm listening","tkka, ana kansma3","تكّا, أنا كانسماع "
Do I have to lie down?,wach khasni ntkka?,واش خاسني نتكّا? 
I'd prefer to just sit,ana kanfaDal ghir nglas safi,أنا كانفاضال غير نڭلاس سافي 
I'm feeling a little bit apprehensive about this,kan7as bchwiya dyal dérangement mn hadchi,كانحاس بشوييا ديال دéرانڭمنت من هادشي 
What are you worried about?,3lach nta mderongi,علاش نتا مدرونڭي 
"Oh, you know everything","ah, rak 3arf kolchi","أه, راك عارف كولشي "
I don't know where to begin,ma3arfch mnin nbda,ماعارفش منين نبدا 
Then let's start with simple questions,yalah nabdaw b as2ila sa8la,يالاه نابداو ب أسإلا ساهلا 
I'm sorry,sma7 liya,سماح لييا 
I don't know what you mean,ma3raftch ach kat9sad,ماعرافتش أش كاتقساد 
I don't know what you mean,ma3raftch chno bghiti t9Sed,ماعرافتش شنو بغيتي تقصد 
I'm not worried about talking to you,ana makhayfch mn l8Dra m3ak,أنا ماخايفش من لهضرا معاك 
I'm worried about... I seem to worry about everything,ana khayf mn... ban liya ana khayf 3la kolchi,أنا خايف من... بان لييا أنا خايف علا كولشي 
My job,khdmti,خدمتي 
My husband,rajli,راجلي 
My children,wladi,ولادي 
It's all very overwhelming,kolchi fayt l9yas bzaf,كولشي فايت لقياس بزاف 
And I talk too much,o ana kan8Dr bzaf,أُ أنا كانهضر بزاف 
Thank you for talking,chokran 3la l8dra,شوكران علا لهدرا 
It's important that I test your concern,rah darori nkhtabr l9ala9 dyalk,راه داروري نختابر لقالاق ديالك 
If you're not worried in my office,ila makntich 9ali9 f lmaktab dyali,إلا ماكنتيش قاليق ف لماكتاب ديالي 
it's a good thing you're not afraid to talk about yourself,mzyan matkhafch t8dar 3la rask,مزيان ماتخافش تهدار علا راسك 
It's a big step!,rah khoTwa kbira!,راه خوطوا كبيرا! 
Do you know how long you've been feeling all these concerns?,wach 3rafti mnimta onta kat7s bhad lmakhawif?,واش عرافتي منيمتا أُنتا كاتحس بهاد لماخاويف? 
It started this year,bda had l3am,بدا هاد لعام 
When I was offered promotion,mnin t3arDat 3lia tar9iya,منين تعارضات عليا تارقييا 
I turned it down,rfaDt8a,رفاضتها 
What do you think you're afraid of?,achno kadan mnach khayf?,أشنو كادان مناش خايف? 
Responsibility?,lms2oliya?,لمسألييا? 
Fear of failure?,lkhawf mn lfachal?,لخاوف من لفاشال? 
I hate my job but I don't want to leave it,ana kankr8 lkhdma dyali walakin mabghitch nkhrj mn8a,أنا كانكره لخدما ديالي والاكين مابغيتش نخرج منها 
Um... how exactly do you manifest your fears?,um... kifach bDabT kat3bbr 3la lkhawf dyalk?,وم... كيفاش بضابط كاتعبّر علا لخاوف ديالك? 
I have difficulty sleeping,3ndi So3obat fn3as,عندي صوعوبات فنعاس 
I lose things,kanf9ad l7wayj,كانفقاد لحوايج 
I forget stuff,kannsa chi 7wayj,كانّسا شي حوايج 
Um... sorry what was the question?,um...sma7 liya achno kan so2al dyalk?,وم...سماح لييا أشنو كان سوأل ديالك? 
"Well, the subject seems serious to me","wakha, lmawDo3 kayban jadd bnsba lia","واخا, لماوضوع كايبان جادّ بنسبا ليا "
So I suggest we meet once a week for six months,hadchi 3lach ghadi n9tar7 ntla9aw mrra f simana lmoda dyal stt ch8or,هادشي علاش غادي نقتارح نتلاقاو مرّا ف سيمانا لمودا ديال ستّ شهور 
"For today, that'll be $150","bnisba l lyoum, ghadi ykon 150 dollar","بنيسبا ل ليوم, غادي يكون 150 دولّار "
Make it twice a week and double your fee,khaliha joj mrrat f simana o Dobl lkhlas dyalk,خاليها جوج مرّات ف سيمانا أُ ضوبل لخلاس ديالك 
Nice talking to you,far7an 7it 8Drt m3ak,فارحان حيت هضرت معاك 
I feel better already,kan7as 7san daba,كانحاس حسان دابا 
This is very inconvenient!,hadchi mbrzaT bzaf,هادشي مبرزاط بزاف 
"Oh, no, that's not possible!","oh, la, hadchi maymknch!","أُه, لا, هادشي مايمكنش! "
I have to go pick up my kids in five minutes,khasni nmchi njib wladi f khamsa d9ay9,خاسني نمشي نجيب ولادي ف خامسا دقايق 
I have to tell the school that I'm gonna be late,khasni ngol lmdrasa bila ghadi nt3atal,خاسني نڭول لمدراسا بيلا غادي نتعاتال 
Never mind your kids,nsa wladk,نسا ولادك 
what about my meeting with our new clients,ewa o ljtima3 dyalna m3a lklyan jjdad dyalna,إوا أُ لجتيماع ديالنا معا لكليان الجداد ديالنا 
They'll be arriving in 3 minutes!,ghadi ywSlo mn daba 3 d9ay9!,غادي يوصلو من دابا 3 دقايق! 
Is this a very important appointment for you?,wach hada maw3id mohim bnasba lik?,واش هادا ماوعيد موهيم بناسبا ليك? 
Of course it is,Tab3an,طابعان 
do you have a phone?,wach 3ndak tilifon?,واش عنداك تيليفون? 
"If you send a message to the secretary, she'll warn them","ila siftti message lsikritira, ghadi t3lm8om","إلا سيفتّي مسّاڭ لسيكريتيرا, غادي تعلمهوم "
There is a problem with that,kayna mochkila fhadchi,كاينا موشكيلا فهادشي 
The secretary is ill today,sikritira mriDa lyoum,سيكريتيرا مريضا ليوم 
Think again,fkkar tani,فكّار تاني 
I pay you to think,ana kankhalSk bach tfkkr,أنا كانخالصك باش تفكّر 
we need solution,khasna 7all,خاسنا حالّ 
"Ah, you want me to lend you my phone?",ah wach bghiti nsllfk tilifoni?,أه واش بغيتي نسلّفك تيليفوني? 
but we do not want the clients to know we are stuck in the lift do we?,"walakin mabghinach lklyan y3rfo bila 7na wa7lin f sansour, awlla la?","والاكين مابغيناش لكليان يعرفو بيلا حنا واحلين ف سانسور, أولّا لا? "
"Oh, yes, of course","oh, bSSe7, Tab3an","أُه, بصّح, طابعان "
What are you going to tell them?,achno ghadi tgollihom?,أشنو غادي تڭولّيهوم? 
Could you say you're getting back from Los Angeles and your plane's been delayed?,"wach t9dar tgol bila ghadi trja3 mn los angeles, wla Tyartak t3atlat?","واش تقدار تڭول بيلا غادي ترجاع من لوس أنڭلس, ولا طيارتاك تعاتلات? "
"I could call them, make them think I'm your secretary","n9dr n3yt lihom, o nkhaliwhom ys7ab lihom bila ana sikritira dyalk","نقدر نعيت ليهوم, أُ نخاليوهوم يسحاب ليهوم بيلا أنا سيكريتيرا ديالك "
you asked me to warn them,Tlabti mni n7ddr8om,طلابتي مني نحدّرهوم 
Good idea,fikra mzyana,فيكرا مزيانا 
now you are thinking,daba rak katfkkr,دابا راك كاتفكّر 
With our company name being XX we cannot possibly let them know that we are stuck in our own lift,m3a smiya dyal charika dyalna XX man9adroch ngolo lihom rah wa7lin f sansour dyalna,معا سمييا ديال شاريكا ديالنا شش مانقادروش نڭولو ليهوم راه واحلين ف سانسور ديالنا 
"I'll call them right away, so what's the number?","ghadi nSoni 3lihom drok, achna8owa rra9m?","غادي نصوني عليهوم دروك, أشناهووا الراقم? "
Oh no!,oh la!,أُه لا! 
"It's on my computer, which is in my office","rah kayn fl PC dyali, likayn fl biro dyali","راه كاين فل پك ديالي, ليكاين فل بيرو ديالي "
this just gets worse and worse,hadchi ghir kayzid yakhyab,هادشي غير كايزيد ياخياب 
this just gets worse and worse,hadchi ghir kayzid itkffes,هادشي غير كايزيد إتكفّس 
this just gets worse and worse,hadchi ghir kayzid itrowwen,هادشي غير كايزيد إترووّن 
there's only one thing for it,kayna 7aja wa7da lih,كاينا حاجا واحدا ليه 
We have got to get out of here!,khasna nkhorjo mn 8na!,خاسنا نخورجو من هنا! 
give me your phone,3tini tilifonk,عتيني تيليفونك 
I got my laptop in my backpack,rah 3ndi PC dyali f chkarti,راه عندي پك ديالي ف شكارتي 
like I said,kimma glt lik,كيمّا ڭلت ليك 
I was gonna pick up my kids from school,knt ghadi njib wladi mn lmdrasa,كنت غادي نجيب ولادي من لمدراسا 
I thought I'd work tonight at home,knt nawi nkhdam had llila f dar,كنت ناوي نخدام هاد الليلا ف دار 
"We're gonna find their phones in my computer, don't worry.",ghadi nl9aw nwamr8om f PC dyali. matkhafch,غادي نلقاو نوامرهوم ف پك ديالي. ماتخافش 
"Here it is, I'll give it to you.","hahoa, daba n3Tih lik.","هاهوا, دابا نعطيه ليك. "
In the meantime,fnfs lwe9t,فنفس لوقت 
In the meantime,f nafs lwa9t,ف نافس لواقت 
I'll call the school and let them know I'm gonna be a little late,ghadi ndower lmdrasa o ngolihom rah ghadi nt3Tl chwiya,غادي ندوور لمدراسا أُ نڭوليهوم راه غادي نتعطل شوييا 
Thank you,chokran,شوكران 
Your phone is very low in battery,batri dyal tilifonk na9sa bzaf,باتري ديال تيليفونك ناقسا بزاف 
have you charged it up recently?,wach charjitih mo2kharan?,واش شارجيتيه موءخاران? 
it has just run out of battery,rah yalah khwa mn la charge,راه يالاه خوا من لا شارڭ 
We have no way of communicating with anyone,ma3ndna tta Tari9a bach ntwaslo m3a chi 7d,ماعندنا التا طاريقا باش نتواسلو معا شي حد 
"Ah, that's getting really disturbing","ah, hadchi ghadi o kaywlli moz3ij bzaf","أه, هادشي غادي أُ كايولّي موزعيج بزاف "
I hope the paramedics get here.,kantmna lmos3ifin ikono wSLo l8na,كانتمنا لموسعيفين إكونو وصلو لهنا 
Don't panic,matpanikich,ماتپانيكيش 
Don't panic,matkhl3ch,ماتخلعش 
Don't panic,matkhal3ich,ماتخالعيش 
we're not injured!,7na mamjro7inch,حنا مامجروحينش 
Why don't we just press the alarm button,3lach manbrkoch 3la boton dyal indar,علاش مانبركوش علا بوتون ديال إندار 
why didn't you think of that before?,3lach mafkkrtich fhadchi mn 9bal?,علاش مافكّرتيش فهادشي من قبال? 
I pay you to think!,ana rah kankhalsak bach tfakar!,أنا راه كانخالساك باش تفاكار! 
I believe this forest path leads us to a dead end,kanDn had Tri9 dyal lghaba kaydina lTri9 masdod,كانضن هاد طريق ديال لغابا كايدينا لطريق ماسدود 
Have you been here before?,wach knti 8na mn 9bal?,واش كنتي هنا من قبال? 
It's problematic,rah mochkila,راه موشكيلا 
"No, I don't know the area.",la la ma3arfch lminTa9a,لا لا ماعارفش لمينطاقا 
Do you think we should go back?,wach katDan bila khasna nrj3o?,واش كاتضان بيلا خاسنا نرجعو? 
"Yes, I think it would be prudent to retrace our steps","ah, kanDn ghadi ykon mn l7ikma ntab3o lkhotowat dyalna","أه, كانضن غادي يكون من لحيكما نتابعو لخوتووات ديالنا "
How long have we walked on this path?,mnimta o 7na kanmchiw fhad Tri9?,منيمتا أُ حنا كانمشيو فهاد طريق? 
That's a good idea,hadi fikra zwina,هادي فيكرا زوينا 
What time is it now?,ch7al fsa3a daba?,شحال فساعا دابا? 
Do you have your phone or watch?,wach 3ndk tilifonk wla magana dyalk?,واش عندك تيليفونك ولا ماڭانا ديالك? 
"Yes, I have a watch.",ah 3andi magana,أه عاندي ماڭانا 
My phone is dead.,tilifoni decharja,تيليفوني دشارجا 
It's 8:00 already,ra8a 8:00 daba,راها ه:00 دابا 
it's getting dark,bda Dlam kayTi7,بدا ضلام كايطيح 
Do you have any dinner?,wach 3ndak chi 3cha?,واش عنداك شي عشا? 
Do you have an idea of how long it took us to reach this point in the forest?,wach 3andk chi fikra ch7al tlwa9t khdina bach noSlo lhad lblasa f lghaba?,واش عاندك شي فيكرا شحال تلواقت خدينا باش نوصلو لهاد لبلاسا ف لغابا? 
I believe it's been four hours since we walked on this path,kanDn dazt rb3a dyal sway3 o7na kantmchaw f had Tri9,كانضن دازت ربعا ديال سوايع أُحنا كانتمشاو ف هاد طريق 
I have some biscuits in my rucksack,3ndi chwiya dyal biskwit f sac dyali,عندي شوييا ديال بيسكويت ف ساك ديالي 
We had better move fast,khasna nat7arko bzarba,خاسنا ناتحاركو بزاربا 
The problem is the light,lmochkila hiya DDo,لموشكيلا هييا الضو 
We may lose ourselves or trip over an obstacle and hurt us,n9adro ntlfo wla n3sfo 3la chi 39ba o nt2adaw,نقادرو نتلفو ولا نعسفو علا شي عقبا أُ نتأداو 
"Yes, we must hurry.",ah khasna nsarbiw,أه خاسنا نساربيو 
Let's be careful in our steps,ndeddo lbal lkhTwat dyalna,نددّو لبال لخطوات ديالنا 
And on your side,o mn jihtak,أُ من جيهتاك 
Four hours?,rb3a dyal sway3?,ربعا ديال سوايع? 
Luckily I have my phone on me,l7osn l7aD haz m3aya tilifoni,لحوسن لحاض هاز معايا تيليفوني 
we had better alert our families,khasna n3almo 3a2ilatna,خاسنا نعالمو عاإلاتنا 
we should tell them about our problem,khsna n3awdo lihom 3la lmochkila dyalna,خسنا نعاودو ليهوم علا لموشكيلا ديالنا 
"Great, at least send a text to warn them.","mzyan, 3la9al sift lihom risala bach ta7drhom","مزيان, علاقال سيفت ليهوم ريسالا باش تاحدرهوم "
We can use the torch in my phone,n9adro nkhdmo ddo li f tilifoni,نقادرو نخدمو الدو لي ف تيليفوني 
"this is my phone, not yours","hada tilifoni, machi dyalk","هادا تيليفوني, ماشي ديالك "
is that your phone,wach hada tilifonk,واش هادا تيليفونك 
"no, that's Naima's phone","la, hadak tilifon dyal Naima","لا, هاداك تيليفون ديال نايما "
"Yes, but let's save it","ah, walakin khlina n7afDo 3liha","أه, والاكين خلينا نحافضو عليها "
Do you have any warm clothes?,wach 3andak chi 7wayj dafya?,واش عانداك شي حوايج دافيا? 
Good idea,fikra naDia,فيكرا ناضيا 
We had better get a move on,khasna nat7arko,خاسنا ناتحاركو 
"With the night falling, it might get cold fast enough now.","m3a lil, ghadi ybrad l7al bzarba daba","معا ليل, غادي يبراد لحال بزاربا دابا "
Only a jacket and a scarf,ghir tjakita o zif,غير تجاكيتا أُ زيف 
Let's try to walk a little faster to warm ourselves.,khalina nmchiw bzarba bach nadfaw,خالينا نمشيو بزاربا باش نادفاو 
I think I still have some hot water in my bag,kanDn ba9i 3ndi chwiya dyal lma dafi f saki,كانضن باقي عندي شوييا ديال لما دافي ف ساكي 
Would you like some tea or coffee?,bghiti chwiya dyal atay wla l9ahwa,بغيتي شوييا ديال أتاي ولا لقاهوا 
I would love some tea but we better not stop,bghit atay walakin 7san manwa9foch,بغيت أتاي والاكين حسان مانواقفوش 
"All right, we'll take it later.","wakha, ghadi nakhdoh mn ba3d","واخا, غادي ناخدوه من باعد "
"Good morning ma'am, come in and sit down if you wish","sbah lkhir lala, aji glsi ila bghiti","سباه لخير لالا, أجي ڭلسي إلا بغيتي "
I'm feeling a bit nervous to be honest,kan7as bchwiya dyal tawator sara7a,كانحاس بشوييا ديال تاواتور ساراحا 
It's normal,rah 7aja Tabi3iya,راه حاجا طابيعييا 
just relax and find out everything's going well,ghir rta7 o ktachf bila kolchi rah mzyan,غير رتاح أُ كتاشف بيلا كولشي راه مزيان 
Where do we start?,mnin nabdaw?,منين نابداو? 
"The best part is, you tell me why you wanted to come.",a7san 7aja tgoliya 3lach bghiti tji,أحسان حاجا تڭولييا علاش بغيتي تجي 
But you can also talk to me about something else,walakin t9dar t8dar m3aya 3la 7aja khra,والاكين تقدار تهدار معايا علا حاجا خرا 
I feel overwhelmed by everything happening at the moment,kan7as bl3ya mn ga3 dakchi likaywqa3 daba,كانحاس بلعيا من ڭاع داكشي ليكايوقاع دابا 
