"english","darija"
"I would like to make it fancy dress too.",""
"We could have a theme like James Bond characters or pirates.",""
"What do you think?",""
"Sure.",""
"I like the idea of James Bond characters.",""
"It makes people look a little bit classy.",""
"I'll be Octopussy!",""
"You want me to be James?",""
"The problem is there may be several James!",""
"Of course, you'll be the best James ever!",""
"I don't look like him...",""
"Well, how about the drinks, what do you suggest?",""
"We could make sangria.",""
"And if the weather is nice we could hold it in the garden.",""
"Yes, that's a good idea!",""
"Sangria, and a punch.",""
"Now all we have to do is make the guest list and send out the invites.",""
"I'll get started on it.",""
"I've got most people in email so that would be the quickest way.",""
"Yeah.",""
"E-mails will do.",""
"This is exactly the vacation I wanted.",""
"A swimming pool, sun and nothing else.",""
"Nothing else?",""
"Really?",""
"Not even a trip into town?",""
"I forgot a good book.",""
"We could do some tourist shopping, or even go sightseeing!",""
"What do you think?",""
"The city, I see the rest of the year!",""
"But the city's the city.",""
"We're abroad!",""
"It's not the same thing.",""
"There'll be new architecture to see, statues, monuments, art galleries.",""
"You know - culture!",""
"Yeah, but it's nice every once in a while to land somewhere and relax.",""
"But we relax the rest of the year.",""
"You spend all day at home sunning in the garden.",""
"I really want to get out a bit.",""
"And those kids keep splashing me!",""
"What are you talking about?",""
"You can go if you want, and you come back for me",""
"They think it's really funny to spray water at me.",""
"I can't read when the pages are wet.",""
"I don't want to tire",""
"I'm not going anywhere!",""
"How about we put wheels on your sunbed and I push you around town on it.",""
"Would that be ok?",""
"It would be like a rickshaw!",""
"And what would I look like?",""
"Get me another pool in town.",""
"You could just lie back in the sun and relax!",""
"And we'd still get to go around town together!",""
"It's not fair.",""
"We always do what you want to do.",""
"We'll go into town tomorrow.",""
"But tomorrow never comes.",""
"Do you promise?",""
"Yes, I promise.",""
"Think about a program.",""
"Now can you put some sunscreen on, please?",""
"On you or me?",""
"Hello Lucien, how are you today?",""
"I'm old, and all my bones ache",""
"Did you talk to the nurses and the nursing home doctor?",""
"Maybe it's possible to offer something to ease your pain?",""
"I would prefer a large glass of wine thank you.",""
"I'm not sure the doctor's okay with it, but you can ask him.",""
"I came with cakes...",""
"Doctor will probably say 'no', so I'll just go aout and buy a bottle of cheap wine and hide it in my locker",""
"Maybe this will cheer you up...",""
"The cakes are a good idea.",""
"We can enjoy them with a glass or two of wine.",""
"If you want to buy a bottle of wine and drink it secretly, buy a nice bottle...!",""
"I also got your favorite jazz CDs.",""
"I still have money left from my birthday, so I'll make sure it's a good wine",""
"come over as soon as you can.",""
"We'll be really naughty, and smoke two of my small cigars as well.",""
"It's not a bad idea...",""
"But how could we not turn off the fire alarm with the smoke...",""
"Remember, the last time, she had declined...",""
"And the nurses were not happy because they thought there was a fire in the establishment...",""
"You will have to keep the wine and cigars a secret from the staff here.",""
"Yes, but with the smoke of the cigar, it's not very discreet...",""
"We will just have to go into the garden with two cigars two glasses and our bottle of wine",""
"I'll also have the cake for this makeshift drink.",""
"Why don't you bring a bottle as well, then we can get drunk, escape and go to a night club",""
"I thought you hurt all over?",""
"You want to go dancing?",""
"Nothing that a few glasses of wine and a visit to a night club wouldn't fix",""
"No offense, but with your walker and your false teeth, I'm not sure you're very popular with young women.",""
"When the young people get drunk, they won't care about my prostheses",""
"That's right.",""
"Your comment WAS offensive.",""
"You're forgetting your hearing aid and thick spectacles.",""
"You're nearly blind",""
"It wasn't offensive but realistic...",""
"But I agree with you...",""
"Me too, with my false teeth and my huge glasses, I'm not very attractive...",""
"The residential home's matron has arrived.",""
"She's taken my wine and cigars.",""
"I'm oof to bed.",""
"Find your own night club",""
"I think I hurt you...",""
"But remember... if we were young and beautiful... we are now old, but without losing our charm...",""
"Including false teeth, scope, and walker...",""
"I'm just irritable tonight, now my wine has been taken.",""
"I'm off to bed.",""
"Good night",""
"Please take a seat.",""
"You can put your coat on the hook over there.",""
"So, what brings you here today?",""
"Doctor, it's been several nights since I've been sleeping",""
"There's something I'm worried about.",""
"But I just can't figure out what",""
"Well, we could try to figure it out together!",""
"Just to be clear, do you mean you're struggling to sleep or that you're sleeping too much?",""
"I'm not sleeping.",""
"I'm trying to figure out what's on my mind.",""
"And if I get to sleep, I have strange dreams.",""
"What happens in these dreams of yours?",""
"Can you think of any possible link to your day-to-day life?",""
"Yes, it is possible.",""
"Or maybe not.",""
"Maybe it's an older thing.",""
"Can you perhaps describe your latest dream?",""
"Yes",""
"I'm in an aquarium",""
"Everything is dark around me",""
"Uh huh... go on.",""
"I move easily between rocks and seaweed",""
"The aquarium is awesome, I can't see the windows",""
"The fish say hello",""
"Some people don't know me",""
"Do you know them?",""
"Do you know the fish too?",""
"Are they familiar to you?",""
"I don't know their names.",""
"Of all sizes",""
"I believe the grandfather of the little mermaid too",""
"You mean that he's there too?",""
"What is he doing in the aquarium?",""
"Yes, he is.",""
"He's cooking eggs on the plate.",""
"That's interesting?",""
"Are there chickens there too?",""
"This could be very interesting.",""
"Chickens?",""
"With eggs?",""
"Or fish eggs - you didn't say what kind they were.",""
"No.",""
"Huge eggs.",""
"Maybe this so you have some fish eggs.",""
"I'm sorry, I'm sorry.",""
"Maybe the eggs are from huge fish.",""
"Don't be.",""
"Don't worry.",""
"It's not your fault you have strange dreams. Perhaps you could draw your dreams.",""
"It might help to understand the emotions behind them, and produce a nice piece of artwork while you're at it!",""
"What the hell is going on?",""
"It's stopped between floors.",""
"I'll press the button to floor two again.",""
"Yeah, make it quick, I have a meeting in 15 minutes.",""
"Is it working?",""
"Ok OK.",""
"I've pressed it but we are still not moving.",""
"Is there an emergency button?",""
"Look, you're in front!",""
"There's really no one else we can count on in this building!",""
"I'm gonna have to complain to the technical service!",""
"It's a scandal!",""
"calm down, shouting won't help.",""
"We need to work out what to do.",""
"Perhaps there is a signal here.",""
"Have yo got you",""
"Have you got your phone with you?",""
"I'm not going to calm down!",""
"I have a conference call with the Tokyo office in less than 15 minutes.",""
"I can't miss it.",""
"The box depends on it.",""
"Your salary depends on it.",""
"Call for help!",""
"There's the big red button!",""
"In the name of God!",""
"Why is it my fault?",""
"If you paid me more I would press more buttons for help",""
"What if I sing you a song to calm you down?",""
"Right, I've pressed the big red button and nothing has happened.",""
"Well, my phone doesn't work in the damn metal box!",""
"You need to get a better phone",""
"No, you're not going to sing!",""
"I hate singers!",""
"My ex-husband was a singer.",""
"He used to sing all the time.",""
"We could never concentrate at home.",""
"Or sleep.",""
"He even sang in his sleep.",""
"I don't know why I'm telling you this.",""
"Get us out of here!",""
"OK OK.",""
"It is moving now and here is floor two.",""
"You will get to your meeting on time, but not with me.",""
"I've had enough of you.",""
"I quit!",""
"Hello Sami, how are you today?",""
"How is your arthritis?",""
"The weather is so good, I hope it's not too bad!",""
"Ah, hello, I'm glad to see you, it's been so long!",""
"Unfortunately, the moisture is playing tricks on me, and my arthritis makes me suffer terribly.",""
"I am so sorry to hear that!",""
"Hopefully it will go away soon",""
"That's sweet, but you know what it's like at my age...",""
"You'll never guess who I ran into at the church sale last Saturday - Simon!",""
"He reminded me of that party we had last year, how lovely it was to sit outside then",""
"Yes, we're all no spring chickens anymore",""
"Dear Simon, how has he been all this time?",""
"Did he finally take the time to sign up for the Amicale?",""
"He seems to be doing well, though you know what happened with his wife last year, he's being very brave",""
"I haven't heard about the plans for the Amicale?!",""
"How unfortunate!",""
"I think he should have been in the dating seminars for retired kids while he's still green.",""
"But maybe you should also sign up for these activities?",""
"Hahaha, I don't need seminars to teach me!",""
"But I'm sorry, I'm going to have to leave you",""
"I must get home in time to prepare lunch or I'll get those fainting spells again",""
"But it's been lovely to see you!",""
"You must come visit me soon",""
"It was good to see you too!",""
"I hope I can come and see you soon.",""
"And I hope you get a respite from the arthritis!",""
"Ugh I'm fed up of nature.",""
"All it does is give me a blocked nose and insect bites.",""
"If you like nature it's hard to escape insect bites.",""
"But why the clogged nose, you're allergic to something: Flowers, trees...?",""
"I don't know.",""
"I appear to be allergic to most things these days.",""
"But nature just seems to keep following me everywhere!",""
"We'd have to do a desensitization test.",""
"Maybe you're allergic to animal hairs, too.",""
"But this doesn't tell us where we are.",""
"Do you have any idea where to go?",""
"No idea whatsoever.",""
"Just get us anywhere it doesn't itch anymore!",""
"We could try to find a pond, but I bet we'd get eaten alive by mosquitos.",""
"No, I don't think we should aim at the pond.",""
"We'd have to get out of the forest quickly.",""
"Why don't we scream?",""
"Or maybe we could just get back to ourselves?",""
"Do you have a loud voice?",""
"Or a megaphone that could help us?",""
"Yes, I could use my beautiful voice.",""
"I didn't think to take my megaphone.",""
"Sorry.",""
"I have a lot of water, though.",""
"Do you have your phone with you?",""
"Let's try Google Maps?",""
"Please let's not.",""
"I'm idealogically opposed to Google and any other institute trying to use us to get more data!",""
"We could just wander aimlessly and hope we find our way back.",""
"I have a vacuum cleaner that uses that very technique to clean the flat!",""
"You want us to straddle by snorting the ground?",""
"No, it's a joke.",""
"We should never have left the roads.",""
"Besides, I think that's what triggers an allergic reaction.",""
"Or these are the six little pistachio macaroons you took from the snack bar.",""
"What?",""
"You saw me take them?",""
"I thought I was being subtle...",""
"No, I saw the whole thing.",""
"Do you know how to direct yourself by the position of the sun?",""
"Not me.",""
"I may still pull out my phone and use Google, but if I've understood this is going to start a new allergy attack.!",""
"Ok, ok.",""
"You can use Google Maps...",""
"This is not good timing!",""
"An elevator failure is never the time!",""
"Let's flip the alarm.",""
"No don’t do that.",""
"I’d actually rather present my pitch directly to you.",""
"Really?",""
"What do you want us to do?",""
"Even if it's a bad time, it better be the elevator that goes down!",""
"Yes.",""
"I was going to suggest that you retired immediately.",""
"Please don’t take this the wrong way.",""
"I'm not taking this the wrong way, but I don't know how to pull out of an elevator down.",""
"You make and design elevators but this one breaks every day.",""
"It’s a disgrace.",""
"Our office is on the four hundredth floor and I have to take the stairs every day.",""
"That.",""
"That's no reason not to flip the alarm!",""
"I just thought you’d like the chance to defend yourself before going before the board of governors.",""
"Is it getting hot in here?",""
"I think you're very aggressive.",""
"Let's try to find a solution.",""
"Or do you want to take advantage of the situation to have a good time together and without aggression?",""
"What sort of good time did you have in mind?",""
"I have always had a thing for people in authority.",""
"Uh... it depends on you...",""
"I’m very open minded.",""
"Open-minded, perhaps, but in a very confined space.",""
"I'd prefer a stubborn spirit in an open space.",""
"An alcoholic spirit?",""
"Perhaps we could get a drink together?",""
"Well, I feel like there's a bar in the elevator.",""
"Oh yes, there is.",""
"Let’s get plastered.",""
"I don't know how we're gonna get out and the elevator and this dialogue that I prefer to end.",""
"Good luck with the meeting.",""
"That's it.",""
"The elevator's down again.",""
"I think you should, as a boss, do something to make these blackouts stop!",""
"I’m afraid there’s very little I can do.",""
"I’ve spoken to the council, but they just blame the weather.",""
"The masters, always the same.",""
"I don't think it's a matter of time.",""
"More money, don't you think?",""
"The system is so antiquated.",""
"It can’t cope with the heat.",""
"It would cost millions.",""
"That's just it.",""
"If the system is old and outdated, it's security issues for your employees, right?",""
"It deserves to spend millions of dollars to protect us.",""
"We are just a small business.",""
"I have very little leverage.",""
"Perhaps you could take a pay cut to help pay?",""
"Oh, my God, you're really something.",""
"It's up to us to pay for the repairs with our salaries!",""
"Amazing.",""
"You should start screaming with me to call 911.",""
"Calm down.",""
"All I’m asking for is half of your salary for the next twenty years.",""
"Otherwise you’ll have to use the stairs.",""
"No problem.",""
"I don't see any drawbacks to use the stairs.",""
"But you're gonna have to do the same, you guys, do the same thing.",""
"You look like you could do with using the stairs a bit more.",""
"I have many lazy employees.",""
"It's possible.",""
"There are also many of our leaders who are fat and skinny on borrowed stairs!",""
"I once won Mr Universe, I’ll have you know.",""
"I’m an adonis.",""
"Modest and proud of it, obviously.",""
"Ah, that's it.",""
"The door opens.",""
"Goodbye, you cheap bastard!",""
"Let's see if they prefer white or brown bread.",""
"Oh you took both?",""
"Great.",""
"I suggest we give this group some white, and brown to this other group.",""
"I heard that the bread was bad for the ducks.",""
"Now we can compare the efficiency of white bread and the black bread on these ducks.",""
"This is gonna be interesting.",""
"Yes, that is a conspiracy spread by firms that produce crackers and biscuits.",""
"They want to feed the ducks with crackers and cookies?",""
"It's stupid, it's too fat and too salty.",""
"And a lot of conservatives.",""
"At least the bread is healthy!",""
"It is empty calories, which makes the ducks fat and more likely to sink.",""
"It could make a lot of fat, though.",""
"Anyway, they seem to like two types of bread.",""
"Yes maybe some kale and broccoli would be better for them.",""
"Here, the little ducklings are coming in single file!",""
"I'm not even sure I know what the ducks are eating.",""
"Early in the season all of the mating pairs still have lots of ducklings.",""
"Yeah, it's kind of cute.",""
"I'm a little disappointed, at the moment they seem to digest the bread perfectly.",""
"The main challenge in feeding ducks lies in throwing the bread to different places so that even the smaller ducks get some too.",""
"Absolutely.",""
"But even among adults there seems to be dominant and dominant.",""
"Look at this one, every time he goes for the piece of bread to steal from his rightful recipient.",""
"Are we allowed to fish here?",""
"There's a fisherman there.",""
"Yes, the more aggressive ducks get more food and are better able to dominate the others.",""
"There are fishermen wading in the river as well but they need to watch out for snapping turtles.",""
"Are there turtles?",""
"I like turtles a lot!",""
"And swans are very aggressive this time of year.",""
"Everyone likes turtles!",""
"I hope so.",""
"I like their little alien heads and their wet skin of old men!",""
"The pigeons also come later and eat the bread crumbs that are dropped on the river bank.",""
"When I was little, I hated my cousin, in the country, who sometimes put turtles on her back.",""
"I thought it was totally mean and free.",""
"And I put them on their feet each time.",""
"And of course the hawks come for the pigeons.",""
"Yeah, it's the food chain.",""
"However, I doubt that the hawks are interested in turtles.",""
"Sometimes they are lucky and get a small dog or cat instead.",""
"That's for the day of the party!",""
"Well, the ducks are still here.",""
"They want more bread.",""
"Is there any left?",""
"Ducks are very patient creatures.",""
"Of course",""
"We throw them all that's left?",""
"There are always some crumbs at the bottom of the bag.",""
"I'm really tired today... so I say we stay by the pool!",""
"Oh come on.",""
"Do you really want to waste the entire holiday here?",""
"We might as well have gone to our local pool.",""
"Oh please can we do something else.",""
"A hike perhaps?",""
"Honestly, I'd rather stay with my mother in peace... you know very well she can't walk that much!",""
"Ok, fine.",""
"We can do something that your mother can do as well then.",""
"How about the beach?",""
"She can read her book under a parasol and we can build sand castles!",""
"Why not, but I'm still enjoying the pool.",""
"Don't you want to do some laps?",""
"Yeah, but it gets boring.",""
"I've already done a couple of hundred laps today.",""
"If I do any more I'm going to start going really barmy.",""
"And I keep bumping into people swimming slowly.",""
"A little drink by the bar perhaps?",""
"Or a lolly?",""
"Maybe later.",""
"I'll watch you do your laps.",""
"But I don't want to do laps.",""
"I want to build sand castles, eat lollies, go on a hike.",""
"Anything but stay by the pool.",""
"What do you usually do on holiday?",""
"I read, I rest, I go out for a drink on the terrace... and you?",""
"I build sand castles eat lollies and go for walks, as I said.",""
"Well, would you prefer to go to the bar to get a drink?",""
"In about an hour?",""
"Or I could get you something if you really want.",""
"I just don't like staying still.",""
"I'll pay if you like.",""
"Ah!",""
"Will you get us some drinks?",""
"Yes, anything to get away from this poolside for five minutes.",""
"What do you want?",""
"I'm pretty sure they have just about everything here.",""
"Get me a coffee, please!",""
"If you want, you can take a ride with the dog, too.",""
"It'll make him feel better, and it'll make him happy.",""
"True.",""
"He looks a bit bored too.",""
"One coffee coming up!",""
"Sugar?",""
"Milk...?",""
"A coffee with sugar, thank you.",""
"Ask my mother to get something for her too!",""
"Ok, one coffee, two vodka shots and a Martini coming up!",""
"I'll be back in a minute.",""
"I'm not sure those ducks will love our old bread",""
"It should soften quite quickly in the water.",""
"Although I do hear bread isn't very good for ducks.",""
"They like peas apparently.",""
"They don't like bread?",""
"What did you bring for them?",""
"Not peas anyway!",""
"I never thought about it.",""
"Peas and green vegetables are better for them.",""
"I think the bread sinks and creates a messy pond - so I hear anyway.",""
"There are signs up saying not to give them bread.",""
"I love coming here though as it's very peaceful.",""
"Watching the ducks is very soothing.",""
"Well, I'm not giving any more bread.",""
"Yes, I also like this pond with the ducks and the swans.",""
"Do you come here often to relax?",""
"I work from home, so it's nice to go out for a few hours otherwise I don't see anyone all day.",""
"What about you?",""
"I come here often to read.",""
"Look at the ducks, pretty girls too... what do you do for work?",""
"I'm a writer.",""
"I'm writing a book about cats at the moment.",""
"What do you do?",""
"On cats?",""
"I love animals, but I'm allergic to polite animals.",""
"Otherwise, I'm a jazz musician.",""
"Yes, I love all kinds of animals too, but as I live in an apartment, it would be cruel to own one as they wouldn't have access to the outdoors.",""
"Ah jazz musician.",""
"What instrument/s do you play?",""
"I play the saxophone.",""
"I think it's an instrument with a wonderful sound.",""
"Sometimes the trumpet.",""
"I have to go, but where do you play?",""
"Maybe I could come along to hear you play.",""
"I hope so.",""
"Give me your e-mail, I'll send you the ad for our next gig.",""
"Help!",""
"Help!",""
"I'm lost in the deep woods, I don't know what happened.",""
"What was the last thing you remember?",""
"How did we end up here?",""
"Don't worry, I've ended up here too.",""
"I was going to pick mushrooms in a corner that I know very well.",""
"I walked away a little bit... and when I turned around, I didn't recognize anything.",""
"And you?",""
"What have you done?",""
"I was smoking by my favourite tree and then all of a sudden I'm here with you.",""
"And my head's a bit funny.",""
"Did you eat any of those mushrooms?",""
"No!",""
"No!",""
"They're poisoned!",""
"I'm making a magic potion, but I'm not telling you what to do!",""
"Well I should hope not.",""
"Nobody tells me what to do.",""
"Although if you're making a magic potion, I have to say that I would be very interested in trying some.",""
"I might even have some ingredients you could add...",""
"Oh, yeah?",""
"Really?",""
"What ingredients?",""
"Because it's a recipe for ancient magic potion with a mystery ingredient...",""
"Well, I'll give you that ingredient... it's...",""
"From the Vache Who Rit!",""
"I'm sorry.",""
"Ok.",""
"I'm not sure I understand what you mean.",""
"It's either the bump on the head I got or you've been eating way too many mushrooms!",""
"What on earth is the Vache Who Rit?",""
"A little bit of both.",""
"The Vache Rit!",""
"... Laughing cow in English:",""
"A grilled cheese made in Vosges.",""
"You seem very knowledgeable about it.",""
"And does it have hallucinogenic effects then?",""
"Is that why it's so popular?",""
"Yes, that's exactly what it is!",""
"But there are still many ingredients in this potion.",""
"This morning it's gonna be intense!",""
"We need to start preparing for the wedding!",""
"OK.",""
"Tell me what you'd like me to do first.",""
"What's the menu?",""
"I think you can already start to realize the butterscotch, the pie maker has already prepared the cabbages.",""
"We have a plan:",""
"A puff of vegetables, walnut oil and roquefort.",""
"Then a monkfish with bacon and contacts.",""
"With white wine",""
"That sounds nice.",""
"Are we have canapes?",""
"And dessert.",""
"How many people is it for?",""
"Yes, it'll be for the cocktail.",""
"There's salmon, caviar, and foie gras.",""
"You mean how many guests?",""
"Yes",""
"I think they'll be a hundred and twenty.",""
"Right I'll get going.",""
"I'll see if we've had a delivery of the food.",""
"All right, I'll continue to make dessert at the time.",""
"The fois gras is missing.",""
"Can we substitute it with duck?",""
"What dessert are you making?",""
"No, you don't!",""
"Are you serious?",""
"Oh, my God.",""
"We can actually try to replace it with duck magret, I guess...",""
"Sorry.",""
"I'm trying to do my best.",""
"Oh, don't worry, it's not your fault!",""
"I wonder what could have happened, we may have been misled on the command...",""
"Ouch!",""
"I've cut myself.",""
"I think I need a plaster.",""
"But you cut your finger!",""
"We have to go to the emergency room!",""
"I'm afraid of blood, I'm going to faint",""
"Oh, my God, I don't feel well.",""
"I'm gonna throw up.",""
"The day isn't going so well.",""
"Let's cancel the wedding.",""
"I see you're resourceful.",""
"That's exactly what we're gonna do.",""
"You call the bride and groom?",""
"Fab!",""
"A trip to the beach it is!",""
"Hi, honey, how was your day?",""
"It was so awful I don't know where to start!",""
"Firstly, the car broke down",""
"and it was pouring with rain so I got wet running for the train.",""
"The train was full so I had to stand all the way in to town.",""
"So eventually I arrived late for work.",""
"My boss is not happy.",""
"I don't get it.",""
"You dropped out of our car to catch the train?",""
"And the train being full you went on foot?",""
"I understand you were late for work.",""
"Ah ok.",""
"The car broke down so I had to leave it at the side of the road.",""
"I had to go to work by train.",""
"There were no seats on the train, but I could stand up.",""
"Does that make sense?",""
"Anyway, how was your day?",""
"Well, no, honey, I don't understand what happened to you.",""
"Me, my day has been excellent.",""
"But how did you get home?",""
"You left the car at work?",""
"No, the car is at the garage being mended.",""
"I think it is going to be expensive to fix.",""
"I'm glad you had a good day.",""
"Well, apart from that little transport problem, how are your relations with your boss?",""
"That's still the main problem.",""
"Well he was fine about it once I'd explained what had happened.",""
"I have to make the time up tomorrow, so I'll be late home from work.",""
"We have tickets to go to the theatre tomorrow too!",""
"No!",""
"Your boss invites you to the theater?",""
"I'm not sure I agree.",""
"No, we have tickets darling, but it might mean we are a bit late as I have to work late.",""
"You and I are going to the theatre.",""
"Right.",""
"I'm hungry and it's now too late to cook.",""
"Shall we go out to dinner?",""
"I love the theater.",""
"Which play will be played?",""
"I'm hungry, too, we can go to the restaurant if you want.",""
"Wonderful!",""
"Let's go to dinner and chat more then.",""
"Hi!",""
"So, it's my birthday next week, and I'd like to throw a big party!",""
"Great!",""
"I love parties!",""
"What are you planning on doing?",""
"A big one or just a couple of friends?",""
"I'm not sure, but a big party with all my friends.",""
"At my place it's not big enough, can I rent a room or book a bar?",""
"You could, although you'll have to hurry before it's too late.",""
"I'll help you if you like.",""
"Thank you very much!",""
"It's probably too late to rent a room then.",""
"Do you know a nice bar nearby, and mostly big enough?",""
"Yeah sure.",""
"There's The King's Head.",""
"It's more of a pub than a bar, but you should be able to book a space.",""
"And the bartender's an idiot, so you could always hire him as a jester!",""
"Only kidding... but they do allow you to bring your own entertainment if you want.",""
"Thank you, that's great advice!",""
"I just called them, they said yes!",""
"So we have the back room, it's big enough, starting from 7: 00.",""
"So that's your alcohol sorted.",""
"What do you think about the entertainment idea?",""
"I know a man who knows a man who knows a busker, who might be able to come along and play a bit of guitar.",""
"I'd like to bring strippers in... do you think the bartender would accept?",""
"Ha ha ha!",""
"Seriously, you're right about the musicians.",""
"I have a friend who's in a music group, so I'm going to ask him to come out and play a little!",""
"Great!",""
"Are they any good?",""
"I can't think of anything worse than a rubbish band playing all night.",""
"No offense to your friend...",""
"Uh, they just started out, actually, they're a little beginner...",""
"Actually it's an experimental group, they combine a lot of music styles!",""
"They play the accordion, the banjo, the drum and the recorder!",""
"Do you think it might spoil the evening?",""
"Nah, should be alright.",""
"I'm a massive fan of the banjo, so it should be a blast!",""
"I'm really looking forward to it now!",""
"Thank God!",""
"Now all we have to do is send out the invitations.",""
"You'll be the first to receive the invitation, of course.",""
"Great!",""
"I'm gonna go and buy a brand new dress to wear!",""
"We absolutely need to go shopping!",""
"Excuse me, are you all right?",""
"No, I'm not.",""
"I'm on an aeroplane and I am very scared.",""
"Is this the first time you've been on a plane?",""
"No.",""
"I'm a frequent flyer.",""
"What about you?",""
"I take the plane too often.",""
"But you're still afraid of flying, though you're a regular?",""
"That's surprising!",""
"Did you have a bad experience?",""
"The person next to me was sick all over me and you yourself look rather ill.",""
"Oh, no, I'm fine, thank you.",""
"I have a rather pale complexion, that's all.",""
"You're the one who seems to be really stressed.",""
"Don't worry, everything's going to be fine.",""
"Are you sure?",""
"You look more green than pale.",""
"Really?",""
"If you're right, I hope it's nothing serious.",""
"Yes.",""
"But maybe it's the lighting in here.",""
"But if I start having problems of digestion, I have a simple solution:",""
"I'm also afraid of flight.",""
"It's not natural.",""
"Can I hold your hand please?",""
"Mind you, whiskey is perfect for stress, too.",""
"Uh... if you want.",""
"If I have any more alcohol I may be sick on you.",""
"Would you like a whiskey?",""
"No thank you.",""
"Just the hand please.",""
"All right.",""
"But I'm gonna get a whiskey, though.",""
"Now we've taken off, I'm going to get off.",""
"All the best.",""
"Oh, God, they only have Jack Daniels.",""
"Why don't they have Scottish whiskey?",""
"It's not the same thing!",""
"Oh yes, we've finally landed.",""
"All right, good day to you.",""
"Have a safe onward journey",""
"For tonight's meal, we're waiting for 10 people...",""
"I suggest we see to think together on the menu.",""
"Do you mean there are ten customers or are they late?",""
"There will be ten clients, who booked for tonight, at twenty o'clock.",""
"Oh I understand now!",""
"What shall we cook?",""
"That's the question.",""
"I understand there was a movie star...",""
"Are any of them vegetarian or even vegan?",""
"Then we must not disappoint them.",""
"Which movie star is coming?",""
"Do you think I could get them to autograph a napkin?",""
"Tom Hanks.",""
"I hear he's very nice.",""
"Maybe we can get an autograph at the end.",""
"I think my favourite film was Forrest Gump.",""
"And I don't think he's a vegetarian.",""
"Well when he was on that island in Castaway he must have eaten meat!",""
"We could schedule a carpaccio of saint chatter in the entrance.",""
"What do you mean?",""
"We're just going to get the scallops.",""
"We'll get the edible part, and cut it into thin slices.",""
"Perhaps we could use them as a starter and then do a meat dish.",""
"Then marinate in lemon juice.",""
"I think it can make a nice entrance.",""
"Yeah, it's a good idea to put on a meat plate!",""
"You got any ideas?",""
"What about roast breast of pigeon with beetroot, dauphine potatoes and a blackberry jus?",""
"You mean blackberries?",""
"Or a blackberry pie to finish?",""
"I mean a blackberry sauce to go with the pigeon.",""
"It's a good idea, original, which will probably enjoy our living.",""
"What about dessert?",""
"Maybe we could make a lemon pie?",""
"Or chocolate macaroons?",""
"I'm glad you like my ideas.",""
"I got them from watching Masterchef on television.",""
"Really?",""
"I like lemon pie.",""
"Perhaps with Chantilly cream?",""
"I watch that show, too!",""
"It's good to see you.",""
"It's been a long time and since I don't have a lot of visitors.",""
"Good to see you too !",""
"Sorry I haven’t visited in so long.",""
"I’ve just come back from my holiday",""
"Are you coming back from vacation?",""
"All right.",""
"Where did you go this year?",""
"I have a few walks around the nursing home.",""
"Yes, I have just returned from my honeymoon in Hawaii",""
"That’s great , have you made any friends here yet?",""
"Hawaii?",""
"Fabulous!",""
"What have you done?",""
"Sea-fishing, boat walks...?",""
"If not, yes, I made a few friends here with whom I speak music, literature, not to forget chess parts!",""
"We explored the volcanoes on the island , lay on the beach and enjoyed the glorious sunsets.",""
"I'd like to visit Hawaii.",""
"And where are you going to live now?",""
"Do you still have your math teacher position?",""
"I’m thinking to live in Hawaii for the rest of my life it was a life - changing experience.",""
"I was really moved by the hula dancing, and have become pretty good at it.",""
"For now I am living with my brother , I want to quit math teaching and dance full time",""
"Going from teaching of mathematics to dance is original!",""
"But you told me you went on a honeymoon!",""
"What does your husband do?",""
"Yes my honeymoon has changed my life",""
"He’s a scuba diver camera man .",""
"So He would also love to move there",""
"It was lovely seeing you again",""
"I have to meet another friend On the first floor now",""
"Have a lovely rest of your evening",""
"Hey, how was your day?",""
"Hey, I had a terrible day at the office.",""
"Tell me.",""
"What happened?",""
"I accidentally transferred â¬1 billion to the wrong customer account!",""
"My boss was so angry with me.",""
"She told me that if we cannot get the money back then I'll need to find the 1 billion euros myself.",""
"Isn't there another way?",""
"No way!",""
"I don't know.",""
"If we cannot get the money back, can you give me 1 billion euros to pay back to the company?",""
"But we don't have it!",""
"Isn't it possible to get a lawyer?",""
"Yes, I think you're right.",""
"We should get a lawyer and explain that this was a mistake.",""
"But if the lawyer can't help us then maybe we should ask a sorcerer to help us to cast a spell on my boss.",""
"Do you know any good sorcerers?",""
"Not in particular.",""
"But we'll probably find some in the forest",""
"I don't like going into the woods.",""
"Could you go for me and find the best sorcerer for less than 1 billion euros?",""
"Are you stupid?",""
"Pay even more?",""
"What if it doesn't work?",""
"I said for less than 1 billion euros not more than 1 billion euros.",""
"Where will I get a billion euros?",""
"My parents won't lend me that kind of money.",""
"OK then we will need to steal the money from the bank.",""
"I'm going to bed.",""
"We'll think about it tomorrow.",""
"OK, I'm sorry for all the stress that my awful day has caused.",""
"So Ali how are you settling in at the company?",""
"I'm very happy to join the group.",""
"It's a great opportunity for me.",""
"How are you today?",""
"I’m very fed up about being stuck in this lift!",""
"I have a very important meeting to attend.",""
"What are you supposed to be doing??",""
"Have you found any new plans for our program?",""
"Yes, I think we should press the emergency call button.",""
"But, I don't think it's working right now.",""
"No I am thinking of ditching it.",""
"I have some plans of my own.",""
"Maybe we should knock on doors and make noise?",""
"What do you think?",""
"Absolutely!",""
"Great idea!",""
"Let’s stamp our feet and shout loudly.",""
"I hear noise.",""
"I think the co-workers called 911.",""
