ya salam!,Oh dear!,يا سلام!
bayna kan nhar s3ib bzaf,It must have been a really tough day,باينة كان نهار صعيب بزاف
bghiti tahdar 3lih,Would you like to talk about it?,بغيتي تهضر عليه
chno tra flkhdma flkhr?,What went on at work in the end?,شنو ترى فالخدمة فالآخر؟
wach 9darti twfi blmw3id niha2i?,Did you manage to meet the deadline?,واش قدرتي توفي بالموعد النهائي؟
"ayah, nhar S3ib bzaf.","Yes, very hard day",آياه، نهار صعيب بزاف.
khasrna contrat mohima omaf8amnach 3lach,We have lost an important contract and we don't understand why,خسرنا عقد مهم ومافهمناش علاش
machr7och 3lach?,Did they not explain why?,ماشرحوش علاش؟
mafsroch ga3?,No explanations at all?,مافسروش كاع؟
"ah, btabi3t l7al kan 3ndna char7 ndiroh","Yes, of course we had some explaining to do",آه، بطبيعة الحال كان عندنا شرح نديروه
"7na makanstajboch, 3la 7sab hdarthom, l ga3 almotatllabat tti9nia dyalhom.","We don't, according to them, responded to all their technical requirements",حنا ماكنستجبوش، على حسب حدارتهم، لجميع المتطلبات التقنية ديالهم.
"o zid 3la dakchi, knna ghalyin ftaman.","Besides, we were too expensive",و زيد على داكشي، كنا غاليين فالثمن.
chkoun li kan khasso itfawd 3la l3a9d?,Whose job was it to negotiate the contract?,شكون لي كان خاصو يتفاوض على العقد؟
Tab3an kant chi Tari9a bach i8bat taman chwiya?,Surely there's some way to lower the prices a bit?,طبعا كانت شي طريقة باش يخفت الثمن شوية؟
khalina nmchiw nadiro chwia t rimaya,Let us go do some archery,خلينا نمشيو نديرو شوية ت رماية
kan momti3 lbar7 blm39ol,It was really good fun yesterday,كان ممتع البارح بالمقول
ana mat2ked anak knti ghadi tstamta3 bih!,I am sure you would enjoy it!,أنا متأكد أنك كنتي غادي تستمتع به!
"Uhhhh, rimaya?","Uhhhh, archery?",اه، رماية؟
hadchi original,It's quite original,هادشي أوريجينال
wach momkin nadiroh o7na 9rab hakka?,Can we do this close?,واش ممكن نديروه وحنا قراب هكا؟
ma3marni dart hadchi 9bel,I've never done this before,ماعمرني درت هادشي قبل
nta ach?,You what?,نتا اش؟
"sma7 liya, machdditch ach galti","Sorry, I didn't catch what you said ",سمح ليا، ماشددتش اش قلتي
"ah, kanswel wach momkin nrmiw mn blassa 9riba","Yeah, I'm asking if we can shoot the archery nearby",آه، كانسول واش ممكن نرميو من بلاصة قريبة
"ah ayah, hir tma mora lmal3ab dyal tennis","Oh yeah, just over there behind the tennis courts",آه آيه، هير تما مورا الملعب ديال تنيس
kayn tma ta9riban 10 dyal lmamrat o jouj madrribin,There are about 10 lanes and a couple of instructors,كاين تما تقريباً 10 ديال الممرات و جوج مدربين
rrimaya riyada kat3yi bzaf,Archery is a pretty tiring sport,الرماية الرياضية كاتعيي بزاف
kanfdel nb9a 7da lmsba7,I'd rather stay by the pool,كانفضل نبقا حدا المسبح
kanfdel nb9a 7da lapisin,I'd rather stay by the pool,كانفضل نبقا حدا البيسين
hadchii momil bzef,That's so boring,هادشي مومل بزاف
"awdi hir aji, rah mllit man nt7r9 fchms onl3ab lkalimat lmota9ati3a","Oh come on, I've had enough of getting burnt in the sun and doing crosswords",اويدي هير اجي، راه ملليت من نتحرق فشمس ونلعب الكلمات المتقاطعة
"Ila makntich kat3jbak rimaya, ach balik f tasllo9 l7jr?","If you don't like archery, how about rock climbing?",إيلا ماكنتيش كاتعجبك الرماية، اش بالك ف التسلق الحجر؟
"Sber, ta8ada kay3yyi","Wait, that's quite tiring too",صبر، التسلق كايعيي
chno kat9tar7,What do you suggest,شنو كاتقترح
mn ghir nb9aw 7da lmsba7 btabi3t l7al!,other than staying by the pool of course!,من غير نبقاو حدا المسبح بطبيعة الحال!
kanban wa3er ftaslo9,I look great in climbing,كانبان واعر فتسلق
fin kayn flminTa9a imkaniyat momarasat had riyaDa?,Where is it in the area the possibility of making this sport?,فين كاين فالمنطقة إمكانيات ممارسة هاد الرياضة؟
momkin lik tchofhoum mn 8na,You can see them from here,ممكن ليك تشوفهم من هنا
machi 3aliya bzef,it's not very high,ماشي عليا بزاف
ma3alyach bzaf,it's not very high,ماعلياش بزاف
walakin 3ndhoum mostawayat mkhtalfin dyal SSo3oba,but they have different levels of difficulty,ولاكن عندهم مستويات مختلفين ديال الصعوبة
dakchi 3lach hia momti3a lga3 afrad l3a2ila,so it's fun for the all the family,داكشي علاش هي ممتعة لجميع أفراد العائلة
kif kaygolo!,so they say!,كيف كايقولو!
kimma kaygolo!,so they say!,كيما كايقولو!
"wakha, walakin wach kayn chi guide ghadi i3awnna?","Okay, but is there a guide to help us?",واخا، ولكن واش كاين شي غايد غادي يعاونا؟
"ayah, darori ghadi ikoun chi 7ed tmak","Yeah, there should be someone there",آياه، داروري غادي يكون شي حد تماك
3al a9al chi 7ad li ghadi ij88zna,At least somebody who can get us kitted out,عالأقل شي حد لي غادي يجهزنا
"hadchi 2aamin, ana mt2kked","It's pretty safe, I'm sure",هادشي آمين، أنا متأكد
ewa mst3d?,So are you up for it?,اوا مستعد؟
makra8tch njarrab tasallo9,I'd like to try climbing,ماقريتش نجرب التسلق
walakin kantsa2l wach machi 7sn nb9a hi 8na mrta7 7da la piscine,but I'm wondering if it wouldn't be better to stay here quietly by the pool,ولاكن كانتساءل واش ماشي حسن نبقا هي هنا مرتاح حدا لا بيسين
walakin dima katbghi tb9a mrta7 7da lmsba7 mlli kankono f3otla,But you always want to stay quietly by the pool whenever we're on holiday,ولاكن ديما كاتبغي تبقا مرتاح حدا المسبح مللي كانكونو فعطلة
knt kanDn anani 9dart n9n3ak walaw mara w7da!,I actually thought I'd managed to convince you for once!,كنت كانظن أناني قدرت نقنعك ولو مرة وحدة!
wach ghadi tgol nafs l7aja ghda?,Are you going to say the same thing tomorrow?,واش غادي تقول نفس الحاجة غدا؟
momkin ghda ghadi tkoun 3ndi chwiya dyal chaja3a bach ntsala9 m3ak SSokhor,Maybe tomorrow I'll have a little more courage to go rock climbing with you,ممكن غدا غادي تكون عندي شوية ديال الشجاعة باش نتسلق معاك الصخور
ola n9dro nmchiw daba ma7dak mazal m3ndakch lwa9t bach tbadal ra2y dyalk!,"Or, we could go now, while you haven't had enough time to change your mind!",أولا نقدرو نمشيو دابا ماحداك مازال ماعندكش الوقت باش تبدل رأي ديالك!
"bghit nmchi m3ak, walakin machi lyom","I'd like to go with you, but not today",بغيت نمشي معاك، ولكن ماشي اليوم
achawa katrowwen,what the hell are you doing,اشواق كاتروون
3lach la,Why not,علاش لا
ga3 drari mchaw daba idan maghadich yo9fo fTri9na,all the kids have left now so they won't get in our way,جميع الدراري مشاو دابا إذن ماغاديش يوقفو فطريقنا
3ndna la piscine lina bjoj,We have the pool for both of us,عندنا لا بيسين لينا بجوج
ghadi ntsab9 m3ak ljji8a lokhra,I'll race you to the other side,غادي نتسابق معاك للجهة الأخرى
ana mt2akd bli ghadi nrba7,I'm sure I'll win,أنا متأكد بلي غادي نربح
"yalah, mchina!","Come on, let's go!",يالاه، مشينا!
chno lmochkil?,What's wrong?,شنو المشكل؟
fin kayn lmochkil?,What's wrong?,فين كاين المشكل؟
achno lmochkil?,What's wrong?,اشنو المشكل؟
achna8owa lmochkil?,What's wrong?,اشناهوا المشكل؟
bghit nkhrj,I want to get off,بغيت نخرج
wach imkan lina nkhorjo?,Can we get off?,واش إمكان لينا نخرجو؟
la ghadi t7awl tbzaz 3lia nb9a,"No, she'll try to get me to stay on",لا غادي تحاول تبزز عليا نبقا
walakin ana bsa7 mabghitch nkon f had tyara,But I really don't want to be on this plane,ولاكن أنا بصح مابغيتش نكون ف هاد الطيارة
fin ghadi?,Where are you going?,فين غادي؟
wach nta kharj 3otla?,You're going on vacation?,واش نتا خارج عطلة؟
wach hadchi 3la lkhdma?,Is this about work?,واش هادشي على الخدمة؟
rra2is dyali maghadich ikon far7an,My boss won't be happy,الرئيس ديالي ماغاديش يكون فرحان
chef dyali maghadich ikon fr7an,My boss won't be happy,الشاف ديالي ماغاديش يكون فرحان
"ah, rah t lkhdma","Yes, it's for work",آه، راه الخدمة
walakin mawjadtch l presentation li khsni ndir fach nkon tmma,But I haven't prepared the presentation I'm meant to be doing whilst there,ولاكن ماوجدتش البرزنتيشن لي خصني ندير فاش نكون تما
o ana bsa7 makanti9ch fhad chi bach nb9a fsma,And I really don't trust this thing to stay up in the air,و أنا بصح ماكنتيقش فهاد الشي باش نبقى فسما
bach nkon m3ak Sari7,To be honest,باش نكون معاك صريح
bach nkon Sari7,To be honest,باش نكون صريح
bach njik direct,To be honest,باش نجيك ديركت
ana Sara7a makanti9ch fta 7d fhad lwa9t,I don't really trust anybody at the moment,أنا صراحة ماكنتيقش فتا حد فهاد الوقت
achnahya l presentation?,What's the presentation?,اشناهيا البرزنتيشن؟
i9dar ikon 3andak lwa9t bach tfakar fiha daba,You may have time to think about it now,يقدر يكون عندك الوقت باش تفكر فيها دابا
kanDn bli kankhadmo bchakal mzyan 8na,I think we work really well here,كانظن بلي كانخدمو بشكل مزيان هنا
"ghir tkon fo9 s7ab, kaykon kolchi hwa hadak","Once above the clouds, everything is calm",غير تكون فوق سحاب، كايكون كلشي هو هاداك
kayn DDo,there's light,كاين ضو
kay3tik afkar,it gives you ideas,كايعطيك أفكار
o Tyara wasila dyal na9l 2amina bzaf,And the plane is an extremely safe transport,و الطيارة وسيلة ديال نقل آمنة بزاف
hya Tari9a l aktar amaanan bach tsafar fsma,It's the safest way to travel in the air,هي الطريقة الأكثر أماناً باش تسافر فسما
ghaliban 3ndak Sa7,you're probably right,غالباً عندك صح
ana makand7akch,I'm not joking,أنا ماكنضحكش
ana ghadi nzal,I'm getting off,أنا غادي نزل
tsanna!,Wait!,تسنى!
kay9ddmo fTour ra2i3 mn ba3d l i9la3,They serve excellent breakfast after takeoff,كايقدمو فطور رائع من بعد الإقلاع
wach kat3jbak lbaSla?,Do you like onions?,واش كاتعجبك البصلة؟
wach hadchi kafi bach i3wweD 3la lwojod dyalk fhad l7abs?,is it enough to compensate for being in this prison?,واش هادشي كافي باش يعوض على الوجود ديالك فهاد الحبس؟
momkin,It might be,ممكن
i9der,It might be,يقدر
achman nak8at 3ndhom?,What flavours do they have?,اشمن نكهات عندهم؟
kanakhd Tyara kol simana,I get on a plane every week,كاناخد الطيارة كل سيمانة
chi marart mrat bzaf fsimana,Sometimes even a few times a week,شي مرات مرة بزاف فالسيمانة
hadchi wa3r nit,That's really nice,هادشي واعر نيت
olfar9a dyal lyom hya mn a7san wa7din 3ndi,And today's team is one of my favorites,الفرقة ديال اليوم هي من أحسن واحدين عندي
kay3arfoni mzyan,They know me well,كايعرفوني مزيان
dima kay3Tiwni kikat zaydin,They always give me extra cakes,ديما كايعطيوني كيكات زايدين
ghadi nTlab mn8om lik tanta,I'll ask them for you too,غادي نطلب منهم ليك تانتا
"b9a, daba tchouf","Stay, you'll see",بقى، دابا تشوف
rah makhaybch kima kadan,it's not as bad as you think,راه ماخايبش كيما كدنت
rah zwin bzaf!,It's very nice!,راه زوين بزاف!
"omli twsal ltma, ghadi tkon fakhor brask!","And when you get there, you'll be proud of yourself!",أملي توصل لتما، غادي تكون فاخور براسك!
"ewa, wakha","Well, ok",اوا، واخا
ila kanti mt2kad bzaf,If you're very sure,إيلا كنتي متأكد بزاف
ana kat3jbni kika mzyana,I do like a good cake,أنا كاتعجبني الكيكة مزيانة
"oh, hahya lmodifa!","Oh, here's the hostess!",اوه، هاهي المضيفة!
"Christine, wach 3ndak chi kika hya lwla lsa7bi?","Christine, do you have any cake in advance for my friend?",كريستين، واش عندك شي كيكة هي الأولى لصاحبي؟
hadi llila lwla dyalo 8na,It is his first night here,هادي ليلة الأولى ديالو هنا
"idan, mzyan?","So, it's good?",إذن، مزيان؟
wakha ana mchowech chwiya 7it 3ndhom frran fTyyara,Although I'm a bit worried about the fact that they have ovens onboard,واخا أنا مشوش شوية حيت عندهم فرن فالطيارة
ah!,Ah!,آه!
rah 9lle3na onta ga3 mardditi lbal,We took off and you didn't even notice,راه قلعنا وانتا ڭاع مارديتي البال
chofo ch7al ss7ab zwin l8i8!,Look how pretty the clouds are up there!,شوفو شحال السحاب زوين اليوم!
ahalan 2anisa wach imkan liya ndwi m3ak lchi la7adat 3afak?,Hello Miss could I talk to you for a few moments please?,أهلاً أنيسة واش إمكان ليا ندوي معاك لشي لحظات عفاك؟
"sma7lia, 9Sadt sidi!","I'm sorry, I meant Sir!",سمحليا، قصدت سيدي!
"wakha, goliya 3lach jiti l8na","Well, tell me what brings you here",واخا، گوليا علاش جيتي هنا
"wakha, goliya chno jabk 8na","Well, tell me what brings you here",واخا، گوليا شنو جابك هنا
wa7d mn s7abi kayt3rad ltanamor 7it kaylbs nDaDr,One of my friends is being bullied because he wears glasses,واحد من صحابي كايتعرض لتنمر حيت كايلبس نظار
bghit n3awno,I want to help him,بغيت نعاونو
kifach tlbas nDaDr kayl3ab dawr fhad l2a3mal lwa7chia?,How does wearing glasses play a role in these brutal acts?,كيفاش تلبس نظار كايلعب دور فهاد الأعمال الوحشية؟
kayTll3oha 3lih,They tease him,كايطلعوها عليه
kaygolo lih smiyat b7al 'l3yon lmoraba3a',they call him names like 'square eyes',كايقولو ليه سميات بحال 'العيون المربعة'
walakin hadchi makaygolch liya achno kaydiro nDaDr fhad l7ala?,But that doesn't tell me what the glasses are doing in this case?,ولاكن هادشي ماكايقولش ليا اشنو كايديرو نظار فهاد الحالة؟
hadchi 7it hwa mkhtalf 3la ay wa7d akhor,it's because he is different to everybody else,هادشي حيت هو مختلف على أي واحد آخور
tta wa7d akhor makaylbs nDaDr,No-one else wears glasses,تا واحد آخور ماكايلبس نظار
drari DDasrin kayknniw 3lih kniyat,the nasty boys call him names,الدراري الداصرين كايكنيو عليه كنيات
imkan ikono nDaDro lli khaybin!,Maybe it's his glasses that are horrible!,إمكان يكونو النظار اللي خايبين!
"wakha ikono, nnas khashom ikon fihom chwia t ta3aTof","even if they are, people should be more sympathetic",واخا يكونو، الناس خاصهم يكون فيهم شوية تعاطف
lkalimat dyalk taybano mtnas9in ktar,Your words seem a little consistent,الكلمات ديالك تايبانو منتاسقين كتار
ana ma3rftch chno katw99e3 mnni,I don't know what you expect from me,أنا ماعرفتش شنو كاتوقع منني
"wakha, imkan an7taj ltawDi7","Well, perhaps I need to explain",واخا، إمكان أنحتاج لتوضيح
imkan aykhssni nfsser,perhaps I need to explain,إمكان أيخصني نفسر
jit ndwi m3ak 7it nta ostad o tlamd lkhrin kaymrrDo sa7bi,I have come to speak to you because you are a teacher and other students are upsetting my friend,جيت ندوي معاك حيت نتا أستاد و تلامذ الآخرين كايمرضو صاحبي
sabab l9aswa dyalhom 3lih 8wa 7itach kaylbas ndadr,The reason they are cruel to him is because he wears glasses,سباب القسوة ديالهم عليه كوا حيت كايلبس نظار
bghit nasi7a dyalk kifach n3awno,I need your advice on how to help him,بغيت نصيحة ديالك كيفاش نعاونو
wach imkan lik ta3ti ga3 talaba ndadar?,Could you give all the students some glasses?,واش إمكان ليك تعطي جميع طلبة نظار؟
ghadi ikon dakchi sakhif,That would be silly,غادي يكون داكشي سخيف
wach ba9i hadchi ghaby?,Is that still stupid?,واش باقي هادشي غبي؟
flwa9i3 i9dar ikon hada 7al mzyan,actually that might be a good solution,فالواقع يقدر يكون هادا حال مزيان
walakin ana ghir dri sghir idan maymknch lia njib lih 3adasat,but I am only a child so I can't get him lenses,ولاكن أنا غير دري صغير إذن مايمكنش ليا نجيب ليه عدسات
an9tara7 bach itlb8om mn walidih,I will suggest that he asks his parents for them,أنقترح باش يطلبهم من واليده
flwa9i3 hadchi kamlo m3tamd 3la chkal dyal ndadar,"In fact, it all depends on the shape of the glasses",فالواقع هادشي كاملو معتمد على شكل ديال نظار
"wayeh, i9dar ikon hada joz2 mn lmochkila","Yes, that might be part of the problem",وايه، يقدر يكون هادا جزء من المشكلة
rahom khaybin bzaf,they are very ugly,راهم خايبين بزاف
matalan,For instance,مثالا
ila kan lkadr mdwwr,if the frames are round,إيلا كان القدر مدور
i9dr ikon chkl lmdowwer li kayz3aj talaba omachi ndadr,it may be the round form that irritates students rather than glasses themselves,يقدر يكون شكل المدور لي كايزعج الطلبة وماشي نظار
sma7lia makntch 9aSd nbrak 3la 'irsal',I'm sorry I didn't mean to press 'send',سمحلي ماكنتش قاصد نبرك على 'إرسال'
knt bghit ngol blli ana kanfkkar fih,I wanted to say I'm thinking of him,كنت بغيت نقول بللي أنا كانفكر فيه
"so2al wahd, Sandra:","One question, Sandra:",سؤال واحد، ساندرا:
wakha,Okay,واخا
ana 3araf bli lmochkila aykhasha tafkir 3ami9,I'm aware that the problem requires a thorough reflection,أنا عارف بلي المشكلة أيخاصها تفكير عميق
daba nchofo so2al mn ba3d,we'll take the question later,دابا نشوفو سؤال من بعد
kan mn dawa3i soror dyali anani ntna9ch m3ak,I was happy to argue with you,كان من دواعي سروري أناني نتناقش معاك
ana mnba8r bl3om9 dyal chno katgol,I am impressed by the depth of what you're saying,أنا منبهر بالعمق ديال شنو كاتقول
kayn bzaf dyal lbaT had l3am,There's a lot of ducks this year,كاين بزاف ديال البط هاد العام
kantsa2l 3lach,I wonder why,كانتساءل علاش
wach kan lbat kay3ich fl2isTablat?,did the ducks use to live in the stables?,واش كان البط كايعيش فالاستبلات؟
rah b7al chbka dyal Charlotte,It's just like in Charlotte's web,راه بحال شبكة ديال شارلوت
b ga3 dok l7ayawanat 3aychin m3a ba3dyathom,with all the animals living with each other,بجميع دوك الحيوانات عايشين مع بعضياتهم
kantsa2al ila kano tta7do chi nhar dad taba9a l3oliya tlmozari3in li wakhda kolchi,I wonder if they ever unionised against the dominant farmer upper class,كانتساءل إيلا كانو تاحدو شي نهار ضد طبقة العليا المزارعين لي واخدا كولشي
sma7lina,sorry,سمحلينا
ana ghir sakhifa,I'm just being silly,أنا غير ساخيفة
ana ghir kantbar8ach,I'm just being silly,أنا غير كنتبرعش
ch7al mn mra jiti lhna?,how often do you come here?,شحال من مرة جيتي لهنا؟
machftakch 9bal fhad jjwayh,I haven't seen you around before,ماشفتكش قبل فهاد الجوايه
bssa7 ana makan3rfch hadchi,It's true that I don't know that,بصح أنا ماكنعرفش هادشي
lfi2a sosio 9tiSadia jjdida,the new socio-economic category,الفئة السوسيو قطاعية جديدة
wach kadan bli hijrat lbat kant bsbab 3awamil socio 9tiSadia?,Do you think the duck migrations would be caused by socioeconomic factors?,واش كدان بلي هجرة البط كانت بسباب عوامل سوسيو قطاعية؟
imkan zad talawot?,Maybe pollution has increased?,إمكان زاد تألوت؟
taghayor lmonakh,climate change,تغيير المناخ
o Trump,and Trump,و ترامب
kolchi 8aa khata2 Trump had lyamat,everything is Trump's fault nowadays,كلشي ها خطأ ترامب هاد الأيامات
hadchi s7i7 bnsba l9arart l9sirat l2amad,It's true for short-term decisions,هادشي صحيح بنسبة لقرارات القصيرة الأمد
yalah!,come on!,ياله!
tl9na!,come on!,تلقينا!
Dadd Trump,anti-Trump,ضد ترامب
kayna blasa!,there's plenty of room!,كاينة بلاصة!
3Ta lah lblayS!,there's plenty of room!,عطى الله البلايص!
makanchaja3ch Trump ga3,I don't support Trump at all,ماكانشجعش ترامب ڭاع
ana 3amali,I'm being practical,أنا عمالي
kansam3ak akhoya!,"8 hear you, brother!",كانسمعك أخويا!
khalona n7arbo l7rb lmzyana ondaf3o 3la 7o9o9 dyal nas li magaddinch fga3 lblays,let's fight the good fight and defend the rights of powerless people everywhere,خليونا نحاربو الحرب المزيانة وندافعو على حقوق ديال الناس لي ماجددوش فڭاع البلايص
o n7al!,And the bees!,و نحل!
ana machTon bzaf bsbab khtifa2 n7al,I'm very worried about the disappearance of the bees,أنا مشتون بزاف بسباب ختفاء النحل
on7al tahwa,and the bees too,ونحل تاهوا
chi 7aja khra?,anything else?,شي حاجة أخرى؟
o dalafin?,what about dolphins?,و الدلافين؟
homa ghzalin okaybano zwinin fl molSa9at,they're cute and look good on posters,هوما غزالين وكايبانو زوينين فالمشاهد
kolchi kaybghi dalafin,everyone loves dolphins,كلشي كايبغي الدلافين
kan3raf wa7ad chakhs makay7mlch dalafin 7it 3ndhomch mostach,I know someone who didn't like dolphins because they don't have a mustache,كانعرف واحد شخص ماكايحملش الدلافين حيت عندهمش مستش
had bnadm kay3jboh lmchach 7it 3ndhom mostach,That person liked cats because they had mustaches,هاد بنادم كايعجبوه المشاش حيت عندهم مستش
mostach?!,a mustache?!,مستش؟!
achnahoma?,what are they?,اشناهوما؟
syadna lmchach li katchrab lcognac,gentlemen cats that drink cognac,سيدنا المشاش لي كايشرب الكونياك
lmostach hwa likaykon 3and chi rjal bin lfom onif,Mustaches are what some men carry between the mouth and the nose,المستش هو ليكايكون عند شي رجال بين الفم والنيف
o lmchach,And the cats,و المشاش
kimma kano,whatever they're like,كيما كانو
mwllfin ijrriw lchi bit,they use to run into a room,مولفين يجريو لشي بيت
aykono 3ndak mchach fchkel ila kano kaycharbo brandy,You must have special cats if they drink brandy,ايكونو عندك مشاش فشكل إيلا كانو كايشربو براندي
lmcha dyali mamwaf9ach bach tchrab 7lib soya,My cat doesn't already agree to drink soy milk,المشا ديالي ماموافقاش باش تشرب حليب صويا
ahlan wa sahlan,Hello,أهلا وسهلا
ana far7an 7it l9itak,I'm glad I've found you,أنا فرحان حيت لقيتك
tllaft tri9 dyali,I've lost my way,تلفت طريق ديالي
tlaft 3la tri9,I've lost my way,تلفت على طريق
kandor fblasti mn ch7al hada,I have been walking in circles for ages,كندور فبلاصتي من شحال هادا
wach kat3raf tari9a tkhraj mn had l2achjar?,Do you know the way out of these trees?,واش كتعرف طريقة تخرج من هاد الأشجار؟
"la, ma3mri kant 8na mn 9bal","No, I've never been here before",لا، ماعمري كنت هنا من قبل
walakin imkan lina n7awlo nmchiw l9dam f nafs l2itijah,but maybe we can try moving forward in the same direction,ولكن إمكان لينا نحاولو نمشيو لقدام في نفس الاتجاه
"ah, walakin chmn itijah?","Yes, but which direction?",آه، ولكن شمن اتجاه؟
kanDn bli jit mn dik tri9,I think I came from that way,كانظن بلي جيت من ديك الطريق
walakin 7ta tma kayban lia fayt chayfo,but over there also seems familiar,ولكن حتى تما كايبان ليا فيت شايفو
wach makhasch Ta7alib inoDo f chamal?,Isn't the moss still supposed to grow north?,واش ماخاصش تحاليب إينودو في شمال؟
f aswa2 l2a7wal,At the worst,ف أسوأ الأحوال
kankhtaro ghir hakak,we pick at random,كانختارو غير هكاك
nkhtaro ghir 3llah,we pick at random,نختارو غير علله
ghayntahi bina lmataf f7ayat bnadm,we'll end up on people's lives,غاينتهي بينا المطاف في حياة بنادم
ghankhtmo8a l8i8,we'll end up there,غانختموها لهيه
kan9tara7 nmchiw kima hakka onb9aw m3a ba3dyatna,I suggest that we go that way and stick closely together,كانقترح نمشيو كيما هكا ونبقاو مع بعضياتنا
ddo bda kaymchi,The light is beginning to fade,الددو بدا كايمشي
ddo bda kaytlacha,The light is beginning to fade,الددو بدا كايتلشى
mabghinach nfa9do l2itisal b ba3dyatna,we don't want to loose touch with each other,مابغيناش نفقدو الاتصال ببعضياتنا
wach 3andak chi makla ola chrab?,Do you have any food or drink with you?,واش عندك شي ماكلة أولا شراب؟
wach 3andak chi maytkal ola maytchrb?,Do you have any food or drink with you?,واش عندك شي مايتكال أولا مايتشرب؟
"ah, ba9i 3ndi lma fchkara dyali","Yes, I still have water in my bag",آه، باقي عندي الما فشكارة ديالي
wach 3atchan?,Thirsty?,واش عطشان؟
fik l3Tach?,Thirsty?,فيك العطش؟
fia l3Tch walakin knt kantmna chi 7aja 9as7a chwiya 3la lma,I am thirsty but I was hoping for something a bit stronger that water,فيا العطش ولكن كنت كانتمنى شي حاجة قاصحة شوية على الما
"3la ay 7al, wach imkan lik t3Tini chwiya dyal lma?","Anyway, can you let me have a bit of your water?",على أي حال، واش إمكان ليك تعطيني شوية ديال الما؟
"ah, 8na","Yeah, here",آه، هنا
"o ila b9ina wa7lin 8na bzaf dyal lw9t, imkan lina njarbo tot lk7al","And if we stay stuck here too long, we can still try blackberries",و إيلا بقينا واحلين هنا بزاف ديال الوقت، إمكان لينا نجربو توت الخلال
iwa achno bghitini njib lik?,So what can I get you?,إيوا اشنو بغيتيني نجيب ليك؟
ghadi njib lik l9ahwa!,"I'll get you a coffee, please!",غادي نجيب ليك القهوة!
"3ndi mchrob hna, chokran",I've got a drink here thanks,عندي مشروب هنا، شكران
ola kat9sad lik?,Or do you mean for you?,أولا كاتقصد ليك؟
"9ahwa m7tota tma, ghadi tkon hya hadik","A coffee lying there, that would be perfect",قهوة محطوطة تما، غادي تكون هيا هاديك
m3a chwiya t lma 7dah,With a little glass of water next to it,مع شوية ديال الما حداه
wakha!,Ok!,واخا!
m3a l7lib?,With milk?,مع الحليب؟
twil ola 9sir?,Long or short?,طويل أولا قصير؟
wach nta mt2akad?,Are you sure?,واش نتا متأكد؟
wach mti99en?,Are you sure?,واش متيقن؟
sa3a sa3ida hadi daba!,It's happy hour right now!,ساعة سعيدة هادي دابا!
bla 7lib!,Without milk!,بلا حليب!
wach 9 tllil hadi?,Is it 9 p.m. already?,واش 9 تلليل هادي؟
"fhad l7ala, bghit chwiya dyal mojito","In that case, I'd like a little mojito",فهاد الحالة، بغيت شوية ديال موخيتو
hada khaliT mzyan!,That's a good mix!,هادا خليط مزيان!
9ahwa ochwiya dyal lma o mojito!,"A coffee, some water and a mojito!",قهوة وشوية ديال الما و موخيتو!
wach dwazti nhar zwin flkhadma?,Have you had a good day at work?,واش دوزتي نهار زوين في الخدمة؟
nhar kbir,A big day,نهار كبير
"3la hadchi l9ahwa likhasa, o mojito","Hence the necessary coffee, and a mojito",على هادشي القهوة ليخاصا، و موخيتو
wach maghayl79och 3lik nas mn lkhdma?,Aren't any of your colleagues going to join you?,واش ماغايلحقوش عليك ناس من الخدمة؟
imkn lia njib lihom maychrbo fhad lw9t,I could get you some drinks for them in the meantime,إمكان ليا نجيب لهوم مايشربو في هاد الوقت
ila kano ghayjiw bTabi3t l7al,if they're coming of course,إيلا كانو غايجيو بطبيعة الحال
Sa7bi jay ghayl79 3lia,My boyfriend's coming to join me,صاحبي جاي غايلحق عليا
kanDn bli ghadi yakhod mojito ta8owa,"I think he'll have a mojito, too",كانظن بلي غادي ياخد موخيتو تاهوا
ghadi tkon lila kbira had lila hna.,It's going to be a big night in here tonight,غادي تكون ليلة كبيرة هاد الليلة هنا.
"la, ana mra...!","No, I'm a woman...!",لا، أنا مرا...!
bsa7 cha3ri l9sir imkan ikhlik tchak,It's true that my short hair can make you doubt,بصح شعري القصير إمكان يخليك تشك
walakin kankhdam ka mohandis fmaw9a3 kbir,But I'm working as an engineer on a big site,ولاكن كانخدم كمهندس في موقع كبير
makanch 3ndi w9t bach nbddl,I didn't have time to change,ماكانش عندي وقت باش نبدل
olla ndowech mora nhar f l7a9l,or take a shower after a day in the field,أوللا ندوز مورا نهار في الحقل
"Oh la, la itla9an!","Oh no, not at all!",أوه لا، لا إطلاقاً!
kanDn bli fhmtini ghalat,I think you misunderstood me,كانظن بلي فهمتيني غلط
ghir fhmtini ghalat,you just misunderstood me,غير فهمتيني غلط
lli glt hoa annaho ghaykon mza7m lioma,All I said was that it's going to be busy tonight,للي قلت هو أنهو غايكون مزحوم اليوم
7it 3andna joj mjmo3at ghayjiw bach i7taflo,because we have two groups coming in to celebrate,حيت عندنا جوج مجموعات غايجيو باش يحتافلو
wach ghadi tkon 7fla fl bar had lila?,Is there going to be a party in the bar tonight?,واش غادي تكون حفلة في البار هاد الليلة؟
ghadi tkon 7ayawiya bzaf,It's going to be very lively,غادي تكون حيوية بزاف
"ah, ghadi ikono joj mnhom!","Yes, there are going to be two of them!",آه، غادي يكونو جوج منهم!
